,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
448,Co1 Fe1 Ni1,,C,25.0,8.5,8.524402703,FCC,125.0,209.0,,,206.7823096,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.08443045798473789
451,Co1 Fe1 Ni1,,C,25.0,8.525,8.524402703,FCC,124.5,203.5,,,206.7823096,,,,Prof.Yeh-3dtransitional,0.08220860382724478
342,Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,FCC,,520.0,,,,,20.3,10.1016/j.msea.2019.04.025,,0.2100662112538933
49,Al0.333 Ca0.011 Li0.844 Mg1 Si0.033,CAST,C,25.0,1.5,1.4,,,342.0,,,,44.0,,10.3390/ma12071136,,0.13815893124775291
139,Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,CAST,C,25.0,,6.8,BCC,569.0,1641.0,3285.0,,182.0,,17.0,10.1016/j.msea.2011.10.110,,0.6629204858993056
622,Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,9.97,9.928762404,BCC,,1370.0,,109.0,130.2953678,50.0,50.0,,Prof.Yeh-RHEA,0.5534436719573728
628,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,1200.0,9.95,9.938913534,BCC,,556.0,,,137.0328224,30.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.22460925664839362
526,Hf0.5 Nb1 Ti2 V1 Zr1,CAST,C,25.0,6.84,6.866942619,BCC,,980.0,,,100.5085826,50.0,50.0,,Prof.Yeh-RHEA,0.39589401351695275
766,Mo1 Nb1 Ta1 V1 W1,CAST,C,25.0,12.4,12.37616704,BCC,535.5,1246.0,,,229.2405322,1.7,1.7,,Prof.Yeh-RHEA,0.5033509600429829
412,Co1 Fe1 Ni1 Si0.25,CAST,C,25.0,,7.7,FCC,149.0,196.0,,,186.0,,,10.1016/j.jmmm.2014.07.023,,0.07917880270339056
867,Mo1 Nb1 Ta1 Ti0.75 W1,,C,25.0,,12.15284498,BCC,495.6,1305.0,1593.0,,227.9760874,8.4,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.527185395550636
863,Co1 Cr1 Mn1 Ni1,,C,25.0,8.065,8.066118534,FCC,,282.0,,,222.1443966,43.8,,,Prof.Yeh-3dtransitional,0.11392052225691907
235,Al1 Co1 Cr1 Fe1 Ni1 Si0.6,,C,25.0,6.005,6.009026544,BCC,,1830.0,,,162.1135755,3.0,,,Prof.Yeh-3dtransitional,0.7392714742204323
481,Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,CAST,C,25.0,,6.6,BCC,332.4,1115.0,,,100.0,50.0,,10.1007/s40195-019-00921-3,,0.4504304337463289
33,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,700.0,,7.4,FCC,,461.0,560.0,,,12.0,,10.3390/e21020169,,0.18623177574624003
31,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,23.0,,7.4,FCC,,520.0,696.0,,,,,10.3390/e21020169,,0.2100662112538933
231,Al1 Co1 Cr1 Fe1 Ni1 Si0.2,,C,25.0,6.455,6.45294893,BCC,,1260.0,,,175.9990498,14.0,,,Prof.Yeh-3dtransitional,0.5090065888075107
746,Mo1 Ta1 Ti1 V1,CAST,C,25.0,,9.6,BCC,,1221.0,1454.0,,189.0,,,10.4028/www.scientific.net/MSF.898.638,,0.4932516229634687
