FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target
Mo1 Nb1 Ti1 V0.3 Zr1,ANNEAL,C,25.0,,7.2,1,,1455.0,,,142.0,,25.0,10.1016/j.matdes.2015.06.072,,1
Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.1,0,,372.0,542.0,182.0,203.0,26.0,,10.1016/j.actamat.2019.04.017,,0
Hf1 Mo1 Ta1 Ti1 Zr1,CAST,C,800.0,,10.2,1,,1045.0,,,143.0,19.0,,10.3390/e21010015,,1
Hf1 Nb1 Ta1 Ti1 Zr1,CAST,T,25.0,,9.9,1,,820.0,869.0,,107.0,50.0,,10.1016/j.msea.2015.12.017,,1
Mo1 Nb1 Ta1 Ti0.75 W1,CAST,C,25.0,12.2,12.15284498,1,,1300.0,,,227.9760874,8.4,8.4,,Prof.Yeh-RHEA,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,600.0,,7.4,0,,470.0,561.0,,,,,10.3390/e21020169,,0
Al0.4 Cr1 Cu1 Fe1 Ni2,,,25.0,7.8,7.758780509,0,,,,,190.4548045,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,WROUGHT,T,25.0,,7.2,0,,1400.0,1500.0,,195.0,5.83,7.85,10.1016/j.msea.2019.05.056,,0
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,ANNEAL,,25.0,,5.9,1,512.0,,,,160.0,,,10.1016/j.jallcom.2009.08.090,,1
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,C,1000.0,9.93,9.9,1,,814.0,,,137.0,,,10.1016/j.actamat.2019.06.032,,1
Hf1 Nb1 Ta1 Ti1,CAST,,,,10.9,1,270.0,,,,119.0,,,10.1016/j.matdes.2018.06.003,,1
Cr1 Nb1 Ta1 Ti1,CAST,,,,9.4,1,495.0,,,,162.0,,,10.1016/j.matdes.2018.06.003,,1
Al1 Nb1 Ti1 V1,ANNEAL,C,800.0,,5.5,1,,560.0,700.0,,104.0,,,10.1016/j.jallcom.2015.08.224,,1
Co1 Cr0.25 Ni1,WROUGHT,T,25.0,,8.7,0,,745.0,824.0,223.0,213.0,36.0,,10.1016/j.actamat.2019.04.017,,0
Mo1 Nb1 Ti1 V2.0 Zr1,CAST,C,25.0,6.985,6.987813039,1,,1540.0,,,138.8504308,23.2,15.5,,Prof.Yeh-RHEA,1
