FORMULA,Process Method,Measurement Method,Measuremet T (Â°C),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Microstructure,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Others: DOI,Others: Reference
Al1Co1Cr1Fe1Ni1Ti1.5,VAM,C,23.0,,6.056214673,BCC+Laves,,2220.0,2720.0,,163.9251027,,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Ti1.5,,C,25.0,6.08,6.056214673,BCC+Sec.,,2220.0,,160.0,163.9251027,5.0,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Ti1V1Zr1,,,25.0,6.3,6.270999626,Other,780.0,,,,144.2424887,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cu33.33Ni1Ti1Zn1,Mechanical alloying + 800℃/1000MPa/1h,C,,,8.484158352,FCC+FCC+Sec.+BCC,,,,,130.134804,,,,Paper_Collection_6_element
Al1Co1Cu50Ni1Ti1Zn1,Mechanical alloying + 800℃/1000MPa/1h,C,,,8.618988693,FCC+FCC+Sec.,,,,,130.094716,,,,Paper_Collection_6_element
Al1Co1Cu8.33Ni1Ti1Zn1,Mechanical alloying + 800℃/1000MPa/1h,C,,,7.696263464,FCC+BCC,,,,,130.3690621,,,,Paper_Collection_6_element
Al1Co1Cu1Fe1Nb1Ni1,,,25.0,7.4,7.39087831,Other,578.0,,,,144.3253262,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cu1Fe1Ni1,,,25.0,7.0,7.047494223,FCC+BCC,536.0,,,,155.6946076,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cu1Fe1Ni1,VAM + 850℃/24h,C,,,7.047494223,FCC+FCC+B2,,,,,155.6946076,,,,Paper_Collection_5_element
Al1Co1Cu1Fe1Ni1Si1,,,25.0,5.9,5.898316511,FCC+BCC,682.0,,,,129.2233441,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
