FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference
Al0.3 Cr0.5 Cu0.5 Fe0.5 Ni1,,,25.0,,7.5,FCC,,,,,185.0,,,10.1063/1.3587228,
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.5,BCC,353.0,1188.0,,63.0,105.0,50.0,,10.1016/j.jallcom.2014.11.064,
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.6,9.549692921,BCC,353.0,1188.0,,108.0,105.1476585,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,9.5,9.549692921,BCC,353.0,1188.0,,63.0,105.1476585,50.0,50.0,,Prof.Yeh-RHEA
Al0.3 Nb1 Ta0.8 Ti1.4 V0.2 Zr1.3,,,25.0,7.7,7.706514339,BCC,,1965.0,,,107.1964186,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Nb1 Ta0.8 Ti1.4 V0.2 Zr1.3,,,800.0,7.7,7.706514339,BCC,,678.0,,,107.1964186,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Nb1 Ta0.8 Ti1.4 V0.2 Zr1.3,,,1000.0,7.7,7.706514339,BCC,,166.0,,,107.1964186,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Nb1 Ta0.8 Ti1.4 V0.2 Zr1.3,,C,25.0,7.7,7.706514339,BCC,500.0,1965.0,2061.0,,107.1964186,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Nb1 Ta1 Ti1.4 Zr1.3,,,25.0,8.1,8.088884841,BCC,,1965.0,,,109.5559669,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Nb1 Ta1 Ti1.4 Zr1.3,,,800.0,8.1,8.088884841,BCC,,362.0,,,109.5559669,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Nb1 Ta1 Ti1.4 Zr1.3,,,1000.0,8.1,8.088884841,BCC,,236.0,,,109.5559669,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Nb1 Ta1 Ti1.4 Zr1.3,,C,25.0,8.1,8.088884841,BCC,490.0,1965.0,2054.0,,109.5559669,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,CAST,,25.0,,7.3,BCC,579.0,,,,177.0,,,10.1007/s11661-006-0081-3,
Al0.429 Ca0.286 Li1 Mg1 Si0.143,CAST,C,25.0,1.57,1.4,,,418.0,,,,13.0,,10.3390/ma12071136,
Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,,T,-70.0,,7.1,,,570.0,1143.0,,,18.0,,10.1016/j.actamat.2016.11.016,
Al0.451 Co0.451 Cr0.451 Fe0.451 Ni1,,T,-192.0,,7.1,,,700.0,1000.0,,,9.0,,10.1016/j.actamat.2016.11.016,
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,,T,-70.0,,7.1,,,595.0,1168.0,,,15.8,,10.1016/j.actamat.2016.11.016,
Al0.465 Co0.465 Cr0.465 Fe0.465 Ni1,,T,-192.0,,7.1,,,700.0,1000.0,,,7.0,,10.1016/j.actamat.2016.11.016,
Al0.4 Cr0.5 Cu0.5 Fe0.5 Ni1,,,25.0,,7.3,FCC,,,,,179.0,,,10.1063/1.3587228,
Al0.4 Cr1 Cu1 Fe1 Ni2,,,25.0,7.8,7.758780509,FCC,,,,,190.4548045,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,25.0,9.1,9.088964376,BCC,,1841.0,,,107.0447572,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,800.0,9.1,9.088964376,BCC,,796.0,,,107.0447572,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,1000.0,9.1,9.088964376,BCC,,298.0,,,107.0447572,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.1,9.088964376,BCC,500.0,1841.0,2269.0,,107.0447572,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
