FORMULA,Process Method,Measurement Method,Measuremet T (?°C),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Microstructure,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Others: DOI,Others: Reference
Al1Cr1Mo1Nb1Ti1,ANNEAL,C,1000,6.56,6.6,BCC+Laves,,550,,,170,,,10.1016/j.actamat.2019.06.032,
Al1Cr1Mo1Nb1Ti1,ANNEAL,C,1200,6.56,6.6,BCC+Laves,,105,,,170,,,10.1016/j.actamat.2019.06.032,
Al1Cr1Mo1Nb1Ti1,ANNEAL,C,600,,6.6,BCC,,930,,,170,,,10.1007/s11661-017-4386-1,
Al1Cr1Mo1Nb1Ti1,ANNEAL,C,800,,6.6,BCC,,875,,,,,,10.1007/s11661-017-4386-1,
Al1Cr1Mo1Nb1Ti1,ANNEAL,C,1000,,6.6,BCC,,550,,,,,,10.1007/s11661-017-4386-1,
Al1Cr1Mo1Nb1Ti1,ANNEAL,C,1200,,6.6,BCC,,150,,,,,,10.1007/s11661-017-4386-1,
Al1Cr1Mo1Ti1,ANNEAL,C,23,5.98,6,BCC,,1100,,,189,,,10.1016/j.actamat.2019.06.032,
Al1Cr1Mo1Ti1,ANNEAL,C,1000,5.98,6,BCC,,375,,,189,,,10.1016/j.actamat.2019.06.032,
Al1Cr1Mo1Ti1,ANNEAL,C,1200,5.98,6,BCC,,100,,,189,,,10.1016/j.actamat.2019.06.032,
Al1Cr1Mo1Ti1,ANNEAL,C,400,,6,BCC,,1070,,,189,,,10.1007/s11661-017-4386-1,
Al1Cr1Mo1Ti1,ANNEAL,C,600,,6,BCC,,1020,,,189,,,10.1007/s11661-017-4386-1,
Al1Cr1Mo1Ti1,ANNEAL,C,800,,6,BCC,,875,,,189,,,10.1007/s11661-017-4386-1,
Al1Cr1Mo1Ti1,ANNEAL,C,1000,,6,BCC,,375,,,189,,,10.1007/s11661-017-4386-1,
Al1Cr1Mo1Ti1,ANNEAL,C,1200,,6,BCC,,100,,,189,,,10.1007/s11661-017-4386-1,
Al1Cr1Nb1Ti1V1,ANNEAL,C,600,,5.8,BCC+Laves,,1015,1060,,,,,10.1016/j.jallcom.2015.08.224,
Al1Cr1Nb1Ti1V1,ANNEAL,C,800,,5.8,BCC+Laves,,860,895,,,,,10.1016/j.jallcom.2015.08.224,
Al1Cr1Nb1Ti1V1,ANNEAL,C,1000,,5.8,BCC+Laves,,65,95,,,,,10.1016/j.jallcom.2015.08.224,
Al1Cr1Nb1Ti1V1,ANNEAL,C,25,,5.8,BCC+Laves,,1550,1570,,,,,10.1016/j.jallcom.2015.08.224,
Al1Cu0.062Li0.062Mg0.062Zn0.062,CAST,C,25,,2.9,FCC+Sec.,,488,879,,,17,,10.1007/s11837-015-1402-z,
Al1Cu0.077Fe0.077Mg0.077Si0.231Zn0.077,CAST,C,25,3.08,3.2,FCC,,422,,88.7,73,1,,10.1038/s41598-019-43329-w,
Al1Cu0.077Mg0.077Mn0.077Si0.231Zn0.077,CAST,C,25,2.98,3.2,FCC,,622,,114.1,73,2,,10.1038/s41598-019-43329-w,
Al1Cu0.077Mg0.077Ni0.077Si0.231Zn0.077,CAST,C,25,3.15,3.2,FCC,,534,,107.8,72,1,,10.1038/s41598-019-43329-w,
Al1Cu0.077Mg0.077Si0.231Zn0.077Zr0.077,CAST,C,25,3.06,3.2,FCC+Laves,,565,,105.1,,4,,10.1038/s41598-019-43329-w,
Al1Cu0.2Li0.5Mg1Zn0.5,CAST,,25,,2.7,Other,,,,,,,,10.1007/s11837-015-1402-z,
Al1Cu0.5Li0.5Mg1Sn0.2,CAST,,25,,3,Other,,,,,,,,10.1007/s11837-015-1402-z,
Al1Cu0.889Fe0.667Ni0.889Ti1,CAST,C,25,,5.9,FCC,516,980,1326,145,131,,7,10.1016/j.apsusc.2015.07.207,
Al1Cu1Fe1Ni1Ti1,CAST,C,25,,6.1,FCC,516,1074,1617,146,137,,8,10.1016/j.apsusc.2015.07.207,
Al1Cu1Ni1Ti1,CAST,C,25,,5.7,FCC,537,300,536,108,122,,0.85,10.1016/j.apsusc.2015.07.207,
Al1Fe1Ni1Ti1,POWDER,C,25,,5.5,BCC+B2,666,,,,,,,10.1016/j.jallcom.2019.02.083,
Al1Fe1Ni1Ti1V1Zr1,CAST,,25,,5.9,BCC,800,,,,119,,,10.1002/adem.200300567,
Al1Hf1Nb1Ta1Ti1Zr1,CAST,C,25,,8.9,BCC+Sec.,441,1489,1900,103,,21,,10.1016/j.jallcom.2014.11.064,
Al1Hf1Nb1Ti1,ANNEAL,,,,7.7,B2,,,,,,,,10.1016/j.matdes.2018.06.003,
Al1Hf1Nb1Ti1,CAST,,,,7.7,B2,,,,,,,,10.1016/j.matdes.2018.06.003,
Al1Hf1Ta1Ti1,ANNEAL,,,,9.7,B2,,,,,,,,10.1016/j.matdes.2018.06.003,
Al1Hf1Ta1Ti1,CAST,,,,9.7,B2,,,,,,,,10.1016/j.matdes.2018.06.003,
Al1Hf1Nb1Ta1Ti1Zr1,CAST,C,25,8.91,8.862378885,BCC,441,1489,,103,101.6218114,21,21,,Prof.Yeh-RHEA
Al1Li0.062Mg0.062Sn0.062Zn0.062,CAST,C,25,,3,FCC+Sec.,,415,836,,,16,,10.1007/s11837-015-1402-z,
Al1Li0.5Mg1Sn0.2Zn0.5,CAST,C,25,,2.9,FCC+Sec.,,546,546,,,,,10.1007/s11837-015-1402-z,
Al1Li1Mg1Sn1Zn1,CAST,C,25,,3.9,FCC+HCP+Sec.,,600,615,,,1,,10.1007/s11837-015-1402-z,
Al1Mo1Nb1Ti1,ANNEAL,,,,6.5,BCC+Sec.,,,,,151,,,10.1016/j.matdes.2018.06.003,
Al1Mo1Nb1Ti1,CAST,,,,6.5,BCC,509,,,,151,,,10.1016/j.matdes.2018.06.003,
Al1Mo1Nb1Ti1,ANNEAL,C,23,6.46,6.5,BCC,,1100,,,151,,,10.1016/j.actamat.2019.06.032,
Al1Mo1Nb1Ti1,ANNEAL,C,1000,6.46,6.5,BCC,,540,,,151,,,10.1016/j.actamat.2019.06.032,
Al1Mo1Nb1Ti1,ANNEAL,C,1200,6.46,6.5,BCC,,200,,,151,,,10.1016/j.actamat.2019.06.032,
Al1Mo1Nb1Ti1,ANNEAL,C,600,,6.5,BCC,,520,,,151,,,10.1007/s11661-017-4386-1,
Al1Mo1Nb1Ti1,ANNEAL,C,800,,6.5,BCC,,500,,,151,,,10.1007/s11661-017-4386-1,
Al1Mo1Nb1Ti1,ANNEAL,C,1000,,6.5,BCC,,540,,,,,,10.1007/s11661-017-4386-1,
Al1Mo1Nb1Ti1,ANNEAL,C,1200,,6.5,BCC,,200,,,151,,,10.1007/s11661-017-4386-1,
Al1Mo1Nb1Ti1V1,CAST,C,25,,6.4,BCC,537,1375,1400,,147,3,,10.3390/e16020870,
Al1Mo1Ta1Ti1V1,CAST,C,25,,8.2,BCC,,,735,,165,,,10.4028/www.scientific.net/MSF.898.638,
Al1Nb1Ta1Ti1,ANNEAL,,,,8.2,BCC+Sec.,,,,,120,,,10.1016/j.matdes.2018.06.003,
Al1Nb1Ta1Ti1,CAST,,,,8.2,BCC,458,,,,120,,,10.1016/j.matdes.2018.06.003,
Al1Nb1Ta1Ti1,CAST,C,20,,8.2,BCC,,1152,,,120,,,10.1016/j.actamat.2019.06.006,
Al1Nb1Ta1Ti1,CAST,C,200,,8.2,BCC,,740,,,,,,10.1016/j.actamat.2019.06.006,
Al1Nb1Ta1Ti1,CAST,C,100,,8.2,BCC,,740,,,120,,,10.1016/j.actamat.2019.06.006,
Al1Nb1Ta1Ti1V1,CAST,C,25,,7.9,BCC,,993,,,122,,,10.1016/j.proeng.2012.03.043,
Al1Nb1Ti1V1,ANNEAL,C,600,,5.5,B2,,780,1005,,104,,5,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1V1,ANNEAL,C,800,,5.5,B2,,560,700,,104,,12,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1V1,ANNEAL,C,25,,5.5,B2,,1000,1280,,104,,50,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1V1,ANNEAL,C,25,,5.5,BCC,448,1020,1318,,104,,50,10.1016/j.matlet.2014.11.162,
Al1Nb1Ti1V1,ANNEAL,C,600,,5.5,BCC,,810,1050,,,,,10.1016/j.matlet.2014.11.162,
Al1Nb1Ti1V1,ANNEAL,C,800,,5.5,BCC,,685,,,,,,10.1016/j.matlet.2014.11.162,
Al1Nb1Ti1V1,ANNEAL,C,1000,,5.5,BCC,,158,,,,,,10.1016/j.matlet.2014.11.162,
Al1Nb1Ti1V1,ANNEAL,C,600,,5.5,BCC,,780,1005,,104,,,10.1016/j.jallcom.2015.08.224,
Al1Nb1Ti1V1,ANNEAL,C,800,,5.5,BCC,,560,700,,104,,,10.1016/j.jallcom.2015.08.224,
Al1Nb1Ti1V1,ANNEAL,C,1000,,5.5,BCC,,110,,,104,,,10.1016/j.jallcom.2015.08.224,
Al1Nb1Ti1V1,ANNEAL,C,25,,5.5,BCC,,1000,1280,,104,,,10.1016/j.jallcom.2015.08.224,
Al1Nb1Ti1V1Zr0.1,ANNEAL,C,600,,5.5,B2+Sec.,,975,1085,,,,,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1V1Zr0.1,ANNEAL,C,800,,5.5,B2+Sec.,,865,920,,,,,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1V1Zr0.1,ANNEAL,C,25,,5.5,B2+Sec.,,1290,1395,,,,,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1V1Zr0.25,ANNEAL,C,600,,5.6,B2+Sec.,,1065,1260,,,,,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1V1Zr0.25,ANNEAL,C,800,,5.6,B2+Sec.,,855,865,,,,,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1V1Zr0.25,ANNEAL,C,25,,5.6,B2+Sec.,,1360,1480,,,,,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1V1Zr0.5,ANNEAL,C,600,,5.6,B2+Laves+Sec.,,1135,1425,,,,,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1V1Zr0.5,ANNEAL,C,800,,5.6,B2+Laves+Sec.,,675,740,,,,,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1V1Zr0.5,ANNEAL,C,25,,5.6,B2+Laves+Sec.,,1485,,,,,,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1V1Zr0.5,,C,25,5.64,5.6,,,1480,,,,50,,10.1016/j.matlet.2015.08.099,
Al1Nb1Ti1V1Zr1,ANNEAL,C,600,,5.8,B2+Laves+Sec.,,1155,1385,,,,,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1V1Zr1,ANNEAL,C,800,,5.8,B2+Laves+Sec.,,550,600,,,,,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1V1Zr1,ANNEAL,C,25,,5.8,B2+Laves+Sec.,,1500,1675,,,,,10.1016/j.msea.2017.08.019,
Al1Nb1Ti1Zr1,,C,25,5.79,5.7,,539.6,1080,,,,8.6,,10.1179/1743284715Y.0000000032,
Al1Nb1Ti1Zr1,CAST,C,25,5.85,5.7,B2,422,1509,,,,17.8,,10.1080/02670836.2018.1446267,
Al1Nb1Ti1Zr1,ANNEAL,C,25,,5.7,B2+Sec.,418,1579,,,,5.9,,10.1080/02670836.2018.1446267,
Al2.0Co1Cr1Cu1Fe1,,,25,5.9,5.910257218,FCC+BCC,567,,,,150.3428274,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2.0Co1Cr1Cu1Fe1Ni1,,C,25,6.275,6.271288576,FCC+BCC,560,1620,,,156.3263851,,,,Prof.Yeh-3dtransitional
Al2.3Co1Cr1Cu1Fe1,,,25,5.7,5.721679722,FCC+BCC,603,,,,145.6260274,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2.3Co1Cr1Cu1Fe1Ni1,,,25,6.1,6.085478138,FCC+BCC,600,,,,151.8372335,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2.5Co1Cr1Cu1Fe1,,,25,5.6,5.607799275,FCC+BCC,624,,,,142.7775895,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2.5Co1Cr1Cu1Fe1Ni1,,,25,6,5.971980926,FCC+BCC,620,,,,149.0951583,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2.5Co1Cr1Fe1Ni1,,,25,5.6,5.570968838,BCC,487,,,,151.6772537,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2.8Co1Cr1Cu1Fe1,,,25,5.5,5.452203263,BCC,657,,,,138.8857398,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2.8Co1Cr1Cu1Fe1Ni1,,,25,5.8,5.815313496,BCC,650,,,,145.3100973,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al22.5Cu20Fe15Ni20Ti22.5,,C,25,5.9,5.879319466,FCC,516,980,1326,140,131.1704646,7,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Co1Cr1Cu1Fe1Ni1,,,1000,6.3,6.271288576,BCC,,116,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Co1Cr1Cu1Fe1Ni1,,,1100,6.3,6.271288576,BCC,,79,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Co1Cr1Cu1Fe1Ni1,,,25,6.3,6.271288576,BCC,,1620,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Co1Cr1Cu1Fe1Ni1,,,600,6.3,6.271288576,BCC,,805,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Co1Cr1Cu1Fe1Ni1,,,500,6.3,6.271288576,BCC,,1120,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Co1Cr1Cu1Fe1Ni1,,,700,6.3,6.271288576,BCC,,567,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Co1Cr1Cu1Fe1Ni1,,,900,6.3,6.271288576,BCC,,214,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Co1Cr1Cu1Fe1Ni1,,,800,6.3,6.271288576,BCC,,302,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Co1Cr1Cu1Fe1Ni1,,C,25,6.3,6.271288576,FCC+BCC,560,1620,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Co1Cr1Fe1Mo0.5Ni1,,,25,6.3,6.263645919,BCC,605,,,,175.4008035,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Co1Cr1Fe1Ni1,,,25,5.9,5.872861963,BCC,509,,,,160.2604035,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Co1Cr1Fe1Ni1,,,25,5.9,5.872861963,BCC,512,,,,160.2604035,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Co1Cr1Fe1Ni1,,,25,5.9,5.872861963,BCC,432,,,,160.2604035,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Co1Cr1Fe1Ni1Ti1,,C,25,5.6,5.621741192,BCC,643,,1030,165,152.1715905,5,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2Cr1Cu1Fe1Ni2,,C,,,6.276084549,BCC,,,,,155.1631569,,,,Paper_Collection_5_element
Al3.0Co1Cr1Cu1Fe1,,,25,5.4,5.357399497,BCC,644,,,,136.5144578,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al3Co1Cr1Cu1Fe1Ni1,,,25,5.7,5.718941271,BCC,640,,,,142.9817592,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al3Co1Cr1Fe1Ni1,,,25,5.3,5.321505919,BCC,506,,,,144.5847516,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al3Cr1Cu1Fe1Ni2,,C,,,5.722311032,BCC+B2,,,,,141.9820461,,,,Paper_Collection_5_element
Al8Co20Cr18Fe9Nb4Ni41,ANNEAL,C,,,7.783905237,FCC,,,,,196.765211,,,,Paper_Collection_6_element
Al8Co20Cr18Fe9Nb4Ni41,ANNEAL,C,,,7.783905237,FCC+Sec.,,,,,196.765211,,,,Paper_Collection_6_element
Al8Co20Cr18Fe9Nb4Ni41,ANNEAL,C,,,7.783905237,FCC+Sec.,450,,,,196.765211,,,,Paper_Collection_6_element
Al8Cu0.5Li0.5Mg0.5Zn0.5,,C,25,2.9,2.911631746,FCC+Sec.,,488,879,,67.91961238,17,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al8Li0.5Mg0.5Sn0.5Zn0.5,,C,25,3,3.045463442,FCC+Sec.,,415,836,,64.46829199,16,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1C0.1Co1Cr1Fe1Ni1,,C,25,6.7,6.65591602,BCC+Sec.,,957,2550,,,11,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1C0.2Co1Cr1Fe1Ni1,,C,25,6.8,6.595873844,BCC+Sec.,,906,2386,,,9,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1C0.3Co1Cr1Fe1Ni1,,C,25,6.8,6.53745356,BCC+Sec.,,867,2178,,,8,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1C0.4Co1Cr1Fe1Ni1,,C,25,6.8,6.480590326,BCC+Sec.,,1056,2375,,,7,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1C0.5Co1Cr1Fe1Ni1,,C,25,6.8,6.425222712,BCC+Sec.,,1060,2250,,,6,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1C1.5Co1Cr1Fe1Ni1,,C,25,7,5.942332936,BCC+Sec.,,1255,2083,,,6,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1C1Co1Cr1Fe1Ni1,,C,25,6.9,6.16888112,BCC+Sec.,,1251,2166,,,7,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co0.5Cr1Fe1Mo0.5Ni1,,,25,7,6.959101993,BCC+Sec.,801,,,,199.5938102,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1.5Cr1Fe1Mo0.5Ni1,,,25,7.2,7.233545249,BCC+Sec.,741,,,,200.9695209,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co2Cr1Fe1Mo0.5Ni1,,,25,7.3,7.342714111,FCC+BCC+Sec.,586,,,,201.5167552,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Fe1,,,25,6.8,6.753328966,FCC+BCC,407,,,,171.4301837,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Fe1Mn1Ni1,,C,25,7.1,7.12784932,FCC+BCC+Sec.,,1005,,,178.8007302,15,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Fe1Mn1Ti1V1,,C,25,6.39,6.381747844,Other,,1860,,,159.6955442,0.95,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Cu1Fe1Ni1,,,1000,7.1,7.07082644,FCC+BCC,,47,,,175.6430969,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Fe1Ni1,,,25,7.1,7.07082644,FCC+BCC,,948,,,175.6430969,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Fe1Ni1,,,600,7.1,7.07082644,FCC+BCC,,561,,,175.6430969,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Fe1Ni1,,,700,7.1,7.07082644,FCC+BCC,,307,,,175.6430969,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Fe1Ni1,,,800,7.1,7.07082644,FCC+BCC,,172,,,175.6430969,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Fe1Ni1,,,900,7.1,7.07082644,FCC+BCC,,98,,,175.6430969,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Fe1Ni1,,C,25,7.1,7.07082644,FCC+BCC,406,950,,,175.6430969,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Fe1Ni1,,,25,7.1,7.07082644,FCC+BCC,472,,,,175.6430969,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Fe1Ni1,,C,25,7.1,7.07082644,FCC+BCC,,1303,,,175.6430969,24,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Fe1Ni1,,C,25,7.075,7.07082644,FCC+BCC,,1300,,,175.6430969,,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Cu1Fe1Ni1Mn1,,C,25,7.125,7.12784932,FCC+BCC+Sec.,,1000,,,178.8007302,15,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Cu1Fe1Ni1Ti1,,C,25,6.6,6.576219657,FCC+BCC,,1234,,,164.1736852,9,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Fe1Ni1Ti1,,T,25,6.575,6.576219657,FCC+BCC,,1230,,,164.1736852,9,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Cu1Fe1Ni1V1,,C,25,6.9,6.922028553,FCC+BCC,,1469,,,168.1654405,16,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Fe1Ni1V1,,T,25,6.925,6.922028553,FCC+BCC,,1470,,,168.1654405,16,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Cu1Ni1Ti1,,C,25,6.4,6.385100199,BCC,,,1495,167,157.2914594,8,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Ni1Ti1Y1,,C,25,5.8,5.826821544,Other,,,1192,,130.0654727,4,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Ni1Ti1Y0.5,,C,25,6.1,6.058270172,Other,,,1025,,141.3526985,3,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Cu1Ni1Ti1Y0.8,,C,25,5.9,5.910793115,Other,,,1325,,134.1605762,5,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe0.5Mo0.5Ni1,,,25,7,7.036713586,BCC+Sec.,755,,,,199.3597159,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe0.6Mo0.5Ni1,,,25,7.1,7.051814008,BCC+Sec.,754,,,,199.5690014,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1.5Mo0.5Ni1,,,25,7.2,7.166686317,BCC+Sec.,635,,,,201.1610826,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe2Mo0.5Ni1,,,25,7.2,7.217670859,BCC+Sec.,639,,,,201.8677066,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Mo0.1Ni1,,C,25,6.8,6.803137068,BCC,,1804,2280,,187.8028973,9,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Mo0.2Ni1,,C,25,6.9,6.884560868,BCC+Sec.,,2456,2953,,191.1596208,3,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Mo0.3Ni1,,C,25,7,6.962203139,BCC+Sec.,,2649,3208,,194.3604496,3,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Mo0.4Ni1,,C,25,7,7.036321339,BCC+Sec.,,2670,3161,,197.4159973,3,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Mo0.5,,,25,6.8,6.774827175,BCC+Sec.,857,,,,200.3979821,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Mo0.5Ni1,,C,25,7.1,7.107150073,BCC+Sec.,,2757,3036,,200.3359357,3,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Mo0.5Ni1,,,25,7.1,7.107150073,BCC+Sec.,796,,,,200.3359357,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Mo0.5Ni1,,,25,7.1,7.107150073,BCC+Sec.,715,,,,200.3359357,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Mo0.5Ni1,,,25,7.1,7.107150073,BCC+Sec.,730,,,,200.3359357,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Mo0.5Ni0.5,,,25,7,6.955036141,BCC+Sec.,708,,,,200.3643361,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Mo0.5Ni1.5,,,25,7.2,7.237263988,FCC+BCC+Sec.,586,,,,200.3116427,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
