FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference
Al0.304 Co1 Cr1 Fe1 Ni1,WROUGHT,,,,7.6,0,,,,,,48.0,,10.1016/j.scriptamat.2016.06.019,
Al0.304 Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,7.6,0,,,,,210.0,87.0,,10.1016/j.msea.2015.02.072,
Al0.304 Co1 Cr1 Fe1 Ni1,,T,25.0,,7.6,0,,260.0,620.0,,,,,10.1016/j.matlet.2017.04.072,
Al0.304 Co1 Cr1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,0,,159.0,410.0,,,43.0,,10.1016/j.matdes.2017.02.072,
Al0.304 Co1 Cr1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,0,,263.0,589.0,,,45.0,,10.1016/j.matdes.2017.02.072,
Al0.304 Co1 Cr1 Fe1 Ni1,ANNEAL,,,,7.6,0,,,,,,44.0,,10.1016/j.jallcom.2013.11.084,
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,CAST,,25.0,,7.2,1,594.0,,,,174.0,,,10.1007/s11661-006-0081-3,
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,CAST,C,25.0,,7.5,0,279.6,268.0,,,167.0,,,10.1016/j.jmst.2018.12.014,
Al0.333 Cr0.667 Fe1 Mn0.667 Ni0.333,CAST,,25.0,,7.0,1,396.0,,,,201.0,,,10.1016/j.msea.2010.05.052,
Al0.335 Hf0.055 Nb0.195 Ti0.1 V0.315,CAST,C,25.0,5.64,5.847325423,2,,702.0,,,98.4020848,1.0,1.0,,Prof.Yeh-RHEA
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,CAST,,25.0,,7.3,1,577.0,,,,175.0,,,10.1007/s11661-006-0081-3,
Al0.375 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,7.5,0,131.0,,,,207.0,,,10.1016/j.jallcom.2009.08.090,
Al0.375 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,7.5,0,196.0,,,,207.0,,,10.1016/j.jallcom.2009.08.090,
Al0.375 Co1 Cr1 Fe1 Ni1,,,25.0,7.5,7.519494797,0,131.0,,,,207.0759655,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.375 Co1 Cr1 Fe1 Ni1,,,25.0,7.5,7.519494797,0,196.0,,,,207.0759655,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,CAST,T,25.0,,7.5,0,182.0,244.0,,,205.0,45.0,,10.1016/j.actamat.2013.09.037,
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,,T,25.0,7.5,7.50474373,0,182.0,244.0,,,205.1766073,45.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,,C,25.0,7.505,7.50474373,0,181.5,243.5,,,205.1766073,46.0,,,Prof.Yeh-3dtransitional
Al0.3 Co1 Cr1 Cu1 Fe1,,,25.0,,7.7,0,180.0,,,,194.0,,,10.3166/acsm.31.633-648,
Al0.3 Co1 Cr1 Fe1 Mo0.1 Ni1,,,,,7.7,0,200.0,,,,214.0,,,10.1016/j.jallcom.2010.02.032,
Al0.3 Co1 Cr1 Fe1 Ni1,CAST,C,300.0,,7.6,0,132.0,,,,,25.0,,10.1088/2053-1591/ab0597,
Al0.3 Co1 Cr1 Fe1 Ni1,CAST,C,340.0,,7.6,0,147.0,,,,210.0,,,10.1088/2053-1591/ab0597,
Al0.3 Co1 Cr1 Fe1 Ni1,CAST,C,430.0,,7.6,0,165.0,,,,,65.0,,10.1088/2053-1591/ab0597,
Al0.3 Co1 Cr1 Fe1 Ni1,CAST,,,,7.6,0,117.0,,,,210.0,,,10.1016/j.matdes.2019.107698,
Al0.3 Co1 Cr1 Fe1 Ni1,,,,,7.6,0,160.0,,,,210.0,,,10.1016/j.jallcom.2010.02.032,
Al0.3 Co1 Cr1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,0,,159.0,410.0,,210.0,,,10.1016/j.actamat.2018.12.010,
Al0.3 Co1 Cr1 Cu1 Fe1,,,25.0,7.7,7.666069343,0,180.0,,,,194.2601286,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.9,7.882943926,0,180.0,,,,195.2637304,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Cr0.5 Cu0.5 Fe0.5 Ni1,,,25.0,,7.5,0,,,,,185.0,,,10.1063/1.3587228,
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.5,1,353.0,1188.0,,63.0,105.0,50.0,,10.1016/j.jallcom.2014.11.064,
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.6,9.549692921,1,353.0,1188.0,,108.0,105.1476585,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,9.5,9.549692921,1,353.0,1188.0,,63.0,105.1476585,50.0,50.0,,Prof.Yeh-RHEA
Al0.3 Nb1 Ta0.8 Ti1.4 V0.2 Zr1.3,,,25.0,7.7,7.706514339,1,,1965.0,,,107.1964186,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Nb1 Ta0.8 Ti1.4 V0.2 Zr1.3,,,800.0,7.7,7.706514339,1,,678.0,,,107.1964186,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Nb1 Ta0.8 Ti1.4 V0.2 Zr1.3,,,1000.0,7.7,7.706514339,1,,166.0,,,107.1964186,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Nb1 Ta0.8 Ti1.4 V0.2 Zr1.3,,C,25.0,7.7,7.706514339,1,500.0,1965.0,2061.0,,107.1964186,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Nb1 Ta1 Ti1.4 Zr1.3,,,25.0,8.1,8.088884841,1,,1965.0,,,109.5559669,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Nb1 Ta1 Ti1.4 Zr1.3,,,800.0,8.1,8.088884841,1,,362.0,,,109.5559669,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Nb1 Ta1 Ti1.4 Zr1.3,,,1000.0,8.1,8.088884841,1,,236.0,,,109.5559669,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.3 Nb1 Ta1 Ti1.4 Zr1.3,,C,25.0,8.1,8.088884841,1,490.0,1965.0,2054.0,,109.5559669,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.417 Co0.833 Cr0.833 Cu0.833 Fe0.833 Ni0.833 V1,CAST,,25.0,,7.3,1,579.0,,,,177.0,,,10.1007/s11661-006-0081-3,
Al0.4 Cr0.5 Cu0.5 Fe0.5 Ni1,,,25.0,,7.3,0,,,,,179.0,,,10.1063/1.3587228,
Al0.4 Cr1 Cu1 Fe1 Ni2,,,25.0,7.8,7.758780509,0,,,,,190.4548045,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,25.0,9.1,9.088964376,1,,1841.0,,,107.0447572,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,800.0,9.1,9.088964376,1,,796.0,,,107.0447572,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,1000.0,9.1,9.088964376,1,,298.0,,,107.0447572,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.1,9.088964376,1,500.0,1841.0,2269.0,,107.0447572,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.50 Co1 Fe1 Ni1,,C,25.0,7.375,7.375241195,0,211.5,345.5,,,,16.5,,,Prof.Yeh-3dtransitional
Al0.5 B0.2 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.7,7.510024263,2,415.0,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 B0.6 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.7,7.300611102,2,505.0,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 B1 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.8,7.107882584,2,736.0,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.5 Co1 Cr1 Cu1 Fe1,,,25.0,,7.4,0,207.0,,,,,,,10.3166/acsm.31.633-648,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,,25.0,,7.6,0,225.0,,,,189.0,,,10.2320/matertrans.47.1395,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,,,,7.6,0,160.0,,,,189.0,,,10.1016/j.vacuum.2018.12.009,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,0,,1290.0,1400.0,,189.0,,,10.1016/j.jallcom.2009.10.088,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,2,,650.0,790.0,,189.0,,,10.1016/j.jallcom.2009.10.088,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,700.0,,7.6,0,,180.0,185.0,,189.0,,,10.1016/j.jallcom.2009.10.088,
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,700.0,,7.6,2,,160.0,180.0,,189.0,,,10.1016/j.jallcom.2009.10.088,
